project_id,bucket_month,event_type,amount
6BxfXGCsH-o83hx52DVL09NneutKXpQeLugD4o7mr-4=,2024-06-01 00:00:00.000000 UTC,STARRED,102.0
rrqUDy2n7xxF-Ese7VHsfoT9GqaThYKWoLtPyZBQCxw=,2024-09-01 00:00:00.000000 UTC,STARRED,23.0
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,2024-06-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_COUNT,1344.0
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,2024-02-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_SUCCESS_DAILY_COUNT,1053.0
UNKoHLpnT_OziRiPCuX21uhgLNIJygsxuZz3A0TL-cg=,2024-05-01 00:00:00.000000 UTC,PULL_REQUEST_OPENED,40.0
VPRpp_l5T9Eh0u95IqfzUGdh-2DCLEp5TIxDQ8XMWJE=,2024-11-01 00:00:00.000000 UTC,STARRED,290.0
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,2024-05-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,12949150258903356.0
1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,2024-01-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,3.5128410875773453e+17
-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,2024-11-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,220548793602363.0
UsLiYpuh5exI0XENoG3FGM-UhRSf6Xbis8NvjvwMh5w=,2024-02-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,12514612879042654.0
Erx9J64anc8oSeN-wDKm0sojJf8ONrFVYbQ7GFnqSyc=,2024-02-01 00:00:00.000000 UTC,PULL_REQUEST_OPENED,340.0
-cqm4kiQPXiAI9GserwK_Jf2AF05Ygc5Mcmf6S9igjk=,2024-01-01 00:00:00.000000 UTC,STARRED,312.0
kZVtBKGSl84JGQpuRfuqaUVlY0BP3XZWNy2wYKjB79s=,2024-05-01 00:00:00.000000 UTC,ISSUE_COMMENT,2640.0
zMr9ziUIls0NIAm5eLswVdNAjL-X9j4o2RcEQmrLf4c=,2024-11-01 00:00:00.000000 UTC,PULL_REQUEST_OPENED,36.0
RS5lOoCIf38rkKBpmpOurIyJA85KNvQSFbxdvzij80k=,2024-03-01 00:00:00.000000 UTC,ISSUE_OPENED,60.0
